raw_record_id,seed,base_keyword,operator_kind,result_rank,query,requests_last_30_days,region,region_id,device,language,collected_at,source_url,evidence_file,data_quality,notes
broad-1,гороскоп,гороскоп,broad,1,гороскоп,4376696,Россия,225,Смартфоны,ru,2026-07-29T18:50:56.118Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF,evidence/wordstat/wordstat-live-raw.json,VALID_LIVE_WORDSTAT,"External Yandex demand proxy, not RuStore internal search volume."
broad-2,гороскоп,гороскоп,broad,2,гороскоп на сегодня,1242594,Россия,225,Смартфоны,ru,2026-07-29T18:50:56.118Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF,evidence/wordstat/wordstat-live-raw.json,VALID_LIVE_WORDSTAT,"External Yandex demand proxy, not RuStore internal search volume."
broad-3,гороскоп,гороскоп,broad,3,гороскоп на 2026,715039,Россия,225,Смартфоны,ru,2026-07-29T18:50:56.118Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF,evidence/wordstat/wordstat-live-raw.json,VALID_LIVE_WORDSTAT,"External Yandex demand proxy, not RuStore internal search volume."
broad-4,гороскоп,гороскоп,broad,4,гороскоп женщина,530747,Россия,225,Смартфоны,ru,2026-07-29T18:50:56.118Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF,evidence/wordstat/wordstat-live-raw.json,VALID_LIVE_WORDSTAT,"External Yandex demand proxy, not RuStore internal search volume."
broad-5,гороскоп,гороскоп,broad,5,гороскоп на июль,525769,Россия,225,Смартфоны,ru,2026-07-29T18:50:56.118Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF,evidence/wordstat/wordstat-live-raw.json,VALID_LIVE_WORDSTAT,"External Yandex demand proxy, not RuStore internal search volume."
broad-6,гороскоп,гороскоп,broad,6,гороскоп на июль 2026,374134,Россия,225,Смартфоны,ru,2026-07-29T18:50:56.118Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF,evidence/wordstat/wordstat-live-raw.json,VALID_LIVE_WORDSTAT,"External Yandex demand proxy, not RuStore internal search volume."
broad-7,гороскоп,гороскоп,broad,7,гороскоп рак,304572,Россия,225,Смартфоны,ru,2026-07-29T18:50:56.118Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF,evidence/wordstat/wordstat-live-raw.json,VALID_LIVE_WORDSTAT,"External Yandex demand proxy, not RuStore internal search volume."
broad-8,гороскоп,гороскоп,broad,8,гороскоп на завтра,297761,Россия,225,Смартфоны,ru,2026-07-29T18:50:56.118Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF,evidence/wordstat/wordstat-live-raw.json,VALID_LIVE_WORDSTAT,"External Yandex demand proxy, not RuStore internal search volume."
broad-9,гороскоп,гороскоп,broad,9,гороскоп лев,285086,Россия,225,Смартфоны,ru,2026-07-29T18:50:56.118Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF,evidence/wordstat/wordstat-live-raw.json,VALID_LIVE_WORDSTAT,"External Yandex demand proxy, not RuStore internal search volume."
broad-10,гороскоп,гороскоп,broad,10,гороскоп лев львов,284698,Россия,225,Смартфоны,ru,2026-07-29T18:50:56.118Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF,evidence/wordstat/wordstat-live-raw.json,VALID_LIVE_WORDSTAT,"External Yandex demand proxy, not RuStore internal search volume."
broad-11,гороскоп,гороскоп,broad,11,гороскоп близнецы,251464,Россия,225,Смартфоны,ru,2026-07-29T18:50:56.118Z,https://wordstat.yandex.ru/?region=225&view=table&words=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF,evidence/wordstat/wordstat-live-raw.json,VALID_LIVE_WORDSTAT,"External Yandex demand proxy, not RuStore internal search volume."
