keyword,periodicity,period,requests,share_percent,region,device,collected_at,source_url,evidence_file
гороскоп,month,июль 2024,4451612,0.074,Россия,Смартфоны,2026-07-29T18:55:20.342Z,https://wordstat.yandex.ru/?region=225&view=graph&words=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF,evidence/wordstat/wordstat-dynamics-monthly.json
гороскоп,month,август 2024,4346158,0.072,Россия,Смартфоны,2026-07-29T18:55:20.342Z,https://wordstat.yandex.ru/?region=225&view=graph&words=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF,evidence/wordstat/wordstat-dynamics-monthly.json
гороскоп,month,сентябрь 2024,4277334,0.067,Россия,Смартфоны,2026-07-29T18:55:20.342Z,https://wordstat.yandex.ru/?region=225&view=graph&words=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF,evidence/wordstat/wordstat-dynamics-monthly.json
гороскоп,month,октябрь 2024,4854867,0.069,Россия,Смартфоны,2026-07-29T18:55:20.342Z,https://wordstat.yandex.ru/?region=225&view=graph&words=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF,evidence/wordstat/wordstat-dynamics-monthly.json
гороскоп,month,ноябрь 2024,5085546,0.07,Россия,Смартфоны,2026-07-29T18:55:20.342Z,https://wordstat.yandex.ru/?region=225&view=graph&words=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF,evidence/wordstat/wordstat-dynamics-monthly.json
гороскоп,month,декабрь 2024,6103274,0.082,Россия,Смартфоны,2026-07-29T18:55:20.342Z,https://wordstat.yandex.ru/?region=225&view=graph&words=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF,evidence/wordstat/wordstat-dynamics-monthly.json
гороскоп,month,январь 2025,5698332,0.074,Россия,Смартфоны,2026-07-29T18:55:20.342Z,https://wordstat.yandex.ru/?region=225&view=graph&words=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF,evidence/wordstat/wordstat-dynamics-monthly.json
гороскоп,month,февраль 2025,4440830,0.062,Россия,Смартфоны,2026-07-29T18:55:20.342Z,https://wordstat.yandex.ru/?region=225&view=graph&words=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF,evidence/wordstat/wordstat-dynamics-monthly.json
гороскоп,month,март 2025,4787153,0.062,Россия,Смартфоны,2026-07-29T18:55:20.342Z,https://wordstat.yandex.ru/?region=225&view=graph&words=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF,evidence/wordstat/wordstat-dynamics-monthly.json
гороскоп,month,апрель 2025,4360115,0.059,Россия,Смартфоны,2026-07-29T18:55:20.342Z,https://wordstat.yandex.ru/?region=225&view=graph&words=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF,evidence/wordstat/wordstat-dynamics-monthly.json
гороскоп,month,май 2025,4077048,0.058,Россия,Смартфоны,2026-07-29T18:55:20.342Z,https://wordstat.yandex.ru/?region=225&view=graph&words=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF,evidence/wordstat/wordstat-dynamics-monthly.json
гороскоп,month,июнь 2025,4204063,0.062,Россия,Смартфоны,2026-07-29T18:55:20.342Z,https://wordstat.yandex.ru/?region=225&view=graph&words=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF,evidence/wordstat/wordstat-dynamics-monthly.json
гороскоп,month,июль 2025,4317656,0.063,Россия,Смартфоны,2026-07-29T18:55:20.342Z,https://wordstat.yandex.ru/?region=225&view=graph&words=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF,evidence/wordstat/wordstat-dynamics-monthly.json
гороскоп,month,август 2025,4305021,0.063,Россия,Смартфоны,2026-07-29T18:55:20.342Z,https://wordstat.yandex.ru/?region=225&view=graph&words=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF,evidence/wordstat/wordstat-dynamics-monthly.json
гороскоп,month,сентябрь 2025,4268953,0.059,Россия,Смартфоны,2026-07-29T18:55:20.342Z,https://wordstat.yandex.ru/?region=225&view=graph&words=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF,evidence/wordstat/wordstat-dynamics-monthly.json
гороскоп,month,октябрь 2025,4900119,0.062,Россия,Смартфоны,2026-07-29T18:55:20.342Z,https://wordstat.yandex.ru/?region=225&view=graph&words=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF,evidence/wordstat/wordstat-dynamics-monthly.json
гороскоп,month,ноябрь 2025,5020212,0.064,Россия,Смартфоны,2026-07-29T18:55:20.342Z,https://wordstat.yandex.ru/?region=225&view=graph&words=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF,evidence/wordstat/wordstat-dynamics-monthly.json
гороскоп,month,декабрь 2025,5636339,0.073,Россия,Смартфоны,2026-07-29T18:55:20.342Z,https://wordstat.yandex.ru/?region=225&view=graph&words=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF,evidence/wordstat/wordstat-dynamics-monthly.json
гороскоп,month,январь 2026,5058491,0.069,Россия,Смартфоны,2026-07-29T18:55:20.342Z,https://wordstat.yandex.ru/?region=225&view=graph&words=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF,evidence/wordstat/wordstat-dynamics-monthly.json
гороскоп,month,февраль 2026,4039108,0.062,Россия,Смартфоны,2026-07-29T18:55:20.342Z,https://wordstat.yandex.ru/?region=225&view=graph&words=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF,evidence/wordstat/wordstat-dynamics-monthly.json
гороскоп,month,март 2026,4477274,0.06,Россия,Смартфоны,2026-07-29T18:55:20.342Z,https://wordstat.yandex.ru/?region=225&view=graph&words=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF,evidence/wordstat/wordstat-dynamics-monthly.json
гороскоп,month,апрель 2026,4513222,0.059,Россия,Смартфоны,2026-07-29T18:55:20.342Z,https://wordstat.yandex.ru/?region=225&view=graph&words=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF,evidence/wordstat/wordstat-dynamics-monthly.json
гороскоп,month,май 2026,4183477,0.058,Россия,Смартфоны,2026-07-29T18:55:20.342Z,https://wordstat.yandex.ru/?region=225&view=graph&words=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF,evidence/wordstat/wordstat-dynamics-monthly.json
гороскоп,month,июнь 2026,4375325,0.061,Россия,Смартфоны,2026-07-29T18:55:20.342Z,https://wordstat.yandex.ru/?region=225&view=graph&words=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF,evidence/wordstat/wordstat-dynamics-monthly.json
гороскоп,week,28 июля 2025 – 3 августа 2025,1011270,0.066,Россия,Смартфоны,2026-07-29T18:55:49.686Z,https://wordstat.yandex.ru/?region=225&view=graph&words=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF,evidence/wordstat/wordstat-dynamics-weekly.json
гороскоп,week,4 августа 2025 – 10 августа 2025,980480,0.063,Россия,Смартфоны,2026-07-29T18:55:49.686Z,https://wordstat.yandex.ru/?region=225&view=graph&words=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF,evidence/wordstat/wordstat-dynamics-weekly.json
гороскоп,week,11 августа 2025 – 17 августа 2025,973254,0.063,Россия,Смартфоны,2026-07-29T18:55:49.686Z,https://wordstat.yandex.ru/?region=225&view=graph&words=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF,evidence/wordstat/wordstat-dynamics-weekly.json
гороскоп,week,18 августа 2025 – 24 августа 2025,977770,0.064,Россия,Смартфоны,2026-07-29T18:55:49.686Z,https://wordstat.yandex.ru/?region=225&view=graph&words=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF,evidence/wordstat/wordstat-dynamics-weekly.json
гороскоп,week,25 августа 2025 – 31 августа 2025,968681,0.064,Россия,Смартфоны,2026-07-29T18:55:49.686Z,https://wordstat.yandex.ru/?region=225&view=graph&words=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF,evidence/wordstat/wordstat-dynamics-weekly.json
гороскоп,week,1 сентября 2025 – 7 сентября 2025,953150,0.06,Россия,Смартфоны,2026-07-29T18:55:49.686Z,https://wordstat.yandex.ru/?region=225&view=graph&words=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF,evidence/wordstat/wordstat-dynamics-weekly.json
гороскоп,week,8 сентября 2025 – 14 сентября 2025,972637,0.058,Россия,Смартфоны,2026-07-29T18:55:49.686Z,https://wordstat.yandex.ru/?region=225&view=graph&words=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF,evidence/wordstat/wordstat-dynamics-weekly.json
гороскоп,week,15 сентября 2025 – 21 сентября 2025,992496,0.058,Россия,Смартфоны,2026-07-29T18:55:49.686Z,https://wordstat.yandex.ru/?region=225&view=graph&words=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF,evidence/wordstat/wordstat-dynamics-weekly.json
гороскоп,week,22 сентября 2025 – 28 сентября 2025,1030080,0.06,Россия,Смартфоны,2026-07-29T18:55:49.686Z,https://wordstat.yandex.ru/?region=225&view=graph&words=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF,evidence/wordstat/wordstat-dynamics-weekly.json
гороскоп,week,29 сентября 2025 – 5 октября 2025,1043136,0.061,Россия,Смартфоны,2026-07-29T18:55:49.686Z,https://wordstat.yandex.ru/?region=225&view=graph&words=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF,evidence/wordstat/wordstat-dynamics-weekly.json
гороскоп,week,6 октября 2025 – 12 октября 2025,1036483,0.06,Россия,Смартфоны,2026-07-29T18:55:49.686Z,https://wordstat.yandex.ru/?region=225&view=graph&words=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF,evidence/wordstat/wordstat-dynamics-weekly.json
гороскоп,week,13 октября 2025 – 19 октября 2025,1101900,0.059,Россия,Смартфоны,2026-07-29T18:55:49.686Z,https://wordstat.yandex.ru/?region=225&view=graph&words=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF,evidence/wordstat/wordstat-dynamics-weekly.json
гороскоп,week,20 октября 2025 – 26 октября 2025,1159805,0.063,Россия,Смартфоны,2026-07-29T18:55:49.686Z,https://wordstat.yandex.ru/?region=225&view=graph&words=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF,evidence/wordstat/wordstat-dynamics-weekly.json
