query,suggestion_rank,suggestion,collected_at,source,source_url
гороскоп,1,Гороскопы,2026-07-29T18:29:53.709Z,RuStore live autocomplete,https://www.rustore.ru/catalog
гороскоп,2,"Гороскопы бесплатно, натальная карта",2026-07-29T18:29:53.709Z,RuStore live autocomplete,https://www.rustore.ru/catalog
гороскоп,3,Гороскоп на каждый день - онлайн,2026-07-29T18:29:53.709Z,RuStore live autocomplete,https://www.rustore.ru/catalog
гороскоп,4,гороскопы,2026-07-29T18:29:53.709Z,RuStore live autocomplete,https://www.rustore.ru/catalog
гороскопы,1,Гороскопы,2026-07-29T18:29:54.419Z,RuStore live autocomplete,https://www.rustore.ru/catalog
гороскопы,2,"Гороскопы бесплатно, натальная карта",2026-07-29T18:29:54.419Z,RuStore live autocomplete,https://www.rustore.ru/catalog
гороскопы,3,Гороскоп на каждый день - онлайн,2026-07-29T18:29:54.419Z,RuStore live autocomplete,https://www.rustore.ru/catalog
гороскопы,4,гороскопы,2026-07-29T18:29:54.419Z,RuStore live autocomplete,https://www.rustore.ru/catalog
гороскопы,5,гороскопы бесплатно натальная карта,2026-07-29T18:29:54.419Z,RuStore live autocomplete,https://www.rustore.ru/catalog
гороскоп на сегодня,1,"ДЕВА Гороскоп на сегодня, завтра и на каждый день",2026-07-29T18:29:55.139Z,RuStore live autocomplete,https://www.rustore.ru/catalog
гороскоп на сегодня,2,Гороскоп на сегодня,2026-07-29T18:29:55.139Z,RuStore live autocomplete,https://www.rustore.ru/catalog
гороскоп на сегодня,3,Гороскопы,2026-07-29T18:29:55.139Z,RuStore live autocomplete,https://www.rustore.ru/catalog
гороскоп на сегодня,4,гороскоп на сегодня,2026-07-29T18:29:55.139Z,RuStore live autocomplete,https://www.rustore.ru/catalog
гороскоп на сегодня,5,дева гороскоп на сегодня завтра и на каждый день,2026-07-29T18:29:55.139Z,RuStore live autocomplete,https://www.rustore.ru/catalog
гороскоп на завтра,1,"ДЕВА Гороскоп на сегодня, завтра и на каждый день",2026-07-29T18:29:55.863Z,RuStore live autocomplete,https://www.rustore.ru/catalog
гороскоп на завтра,2,"СТРЕЛЕЦ Гороскоп на сегодня, завтра и каждый день",2026-07-29T18:29:55.863Z,RuStore live autocomplete,https://www.rustore.ru/catalog
гороскоп на завтра,3,"ОВЕН Гороскоп на сегодня, завтра и на каждый день",2026-07-29T18:29:55.863Z,RuStore live autocomplete,https://www.rustore.ru/catalog
гороскоп на завтра,4,дева гороскоп на сегодня завтра и на каждый день,2026-07-29T18:29:55.863Z,RuStore live autocomplete,https://www.rustore.ru/catalog
гороскоп на завтра,5,овен гороскоп на сегодня завтра и на каждый день,2026-07-29T18:29:55.863Z,RuStore live autocomplete,https://www.rustore.ru/catalog
гороскоп на каждый день,1,Гороскопы,2026-07-29T18:29:56.578Z,RuStore live autocomplete,https://www.rustore.ru/catalog
гороскоп на каждый день,2,Гороскоп на каждый день: Астрология & Гороскопы,2026-07-29T18:29:56.578Z,RuStore live autocomplete,https://www.rustore.ru/catalog
гороскоп на каждый день,3,Гороскоп на каждый день - онлайн,2026-07-29T18:29:56.578Z,RuStore live autocomplete,https://www.rustore.ru/catalog
гороскоп на каждый день,4,гороскоп на каждый день - онлайн,2026-07-29T18:29:56.578Z,RuStore live autocomplete,https://www.rustore.ru/catalog
гороскоп на каждый день,5,гороскоп на каждый день,2026-07-29T18:29:56.578Z,RuStore live autocomplete,https://www.rustore.ru/catalog
ежедневный гороскоп,1,Гороскопы,2026-07-29T18:29:57.291Z,RuStore live autocomplete,https://www.rustore.ru/catalog
ежедневный гороскоп,2,Гороскоп на каждый день: Астрология & Гороскопы,2026-07-29T18:29:57.291Z,RuStore live autocomplete,https://www.rustore.ru/catalog
