query,result_count_displayed,rank,package_id,title,category,rating,icon_url,collected_at,search_url,source_url
гороскоп,497,1,net.kosev.scoping,Гороскоп,Образ жизни,,,2026-07-29T18:37:02.152Z,https://www.rustore.ru/catalog/search?query=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF,https://www.rustore.ru/catalog/app/net.kosev.scoping
гороскоп,497,2,com.grupoprecedo.horoscope,Гороскоп,Образ жизни,,,2026-07-29T18:37:02.152Z,https://www.rustore.ru/catalog/search?query=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF,https://www.rustore.ru/catalog/app/com.grupoprecedo.horoscope
гороскоп,497,3,ru.mail.horo.android,Гороскопы,Образ жизни,,,2026-07-29T18:37:02.152Z,https://www.rustore.ru/catalog/search?query=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF,https://www.rustore.ru/catalog/app/ru.mail.horo.android
гороскоп,497,4,com.special_algorithmic_systems.engm_personal,Астрокалендарь ENIGMATA. Ежедневный гороскоп,Полезные инструменты·Образ жизни,,,2026-07-29T18:37:02.152Z,https://www.rustore.ru/catalog/search?query=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF,https://www.rustore.ru/catalog/app/com.special_algorithmic_systems.engm_personal
гороскоп,497,5,com.promobi.horo,Гороскоп,Образ жизни,,,2026-07-29T18:37:02.152Z,https://www.rustore.ru/catalog/search?query=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF,https://www.rustore.ru/catalog/app/com.promobi.horo
гороскоп,497,6,com.aiastrologer.app,"AI-Астролог, Таро, Астрология, Гороскоп, Астробот",Образ жизни,,,2026-07-29T18:37:02.152Z,https://www.rustore.ru/catalog/search?query=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF,https://www.rustore.ru/catalog/app/com.aiastrologer.app
гороскоп,497,7,com.foresko.horoscopes,Гороскоп на каждый день: Астрология & Гороскопы,Образ жизни,,,2026-07-29T18:37:02.152Z,https://www.rustore.ru/catalog/search?query=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF,https://www.rustore.ru/catalog/app/com.foresko.horoscopes
гороскоп,497,8,ru.smartbear.programs.horoscopenew,Гороскоп на каждый день 2026. По дате рождения,Образ жизни,,,2026-07-29T18:37:02.152Z,https://www.rustore.ru/catalog/search?query=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF,https://www.rustore.ru/catalog/app/ru.smartbear.programs.horoscopenew
гороскоп,497,9,com.daerhou.constellation,Гороскоп,Образ жизни,,,2026-07-29T18:37:02.152Z,https://www.rustore.ru/catalog/search?query=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF,https://www.rustore.ru/catalog/app/com.daerhou.constellation
гороскоп,497,10,com.zylonix.horoscope,Гороскоп на каждый день - онлайн,Образ жизни,,,2026-07-29T18:37:02.152Z,https://www.rustore.ru/catalog/search?query=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF,https://www.rustore.ru/catalog/app/com.zylonix.horoscope
гороскоп,497,11,com.vagasoft.horoscope.signs,Гороскоп,Образ жизни,,,2026-07-29T18:37:02.152Z,https://www.rustore.ru/catalog/search?query=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF,https://www.rustore.ru/catalog/app/com.vagasoft.horoscope.signs
гороскоп,497,12,ua.maksdenis.timeofbirth,Гороскоп Рождения,Образ жизни,,,2026-07-29T18:37:02.152Z,https://www.rustore.ru/catalog/search?query=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF,https://www.rustore.ru/catalog/app/ua.maksdenis.timeofbirth
гороскоп,497,13,com.P.E.O.AxioNika,"Гороскоп, Нумерология, Совместимость: ИИ AxioNika",Развлечения·Образ жизни,,,2026-07-29T18:37:02.152Z,https://www.rustore.ru/catalog/search?query=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF,https://www.rustore.ru/catalog/app/com.P.E.O.AxioNika
гороскоп,497,14,taurus.daily.horoscopes,"ТЕЛЕЦ Гороскоп на сегодня, завтра и на каждый день",Образ жизни·Развлечения,,,2026-07-29T18:37:02.152Z,https://www.rustore.ru/catalog/search?query=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF,https://www.rustore.ru/catalog/app/taurus.daily.horoscopes
гороскоп,497,15,com.idmobile.horoscope,Мой Гороскоп New,Образ жизни,,,2026-07-29T18:37:02.152Z,https://www.rustore.ru/catalog/search?query=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF,https://www.rustore.ru/catalog/app/com.idmobile.horoscope
гороскоп,497,16,com.antonovka.horoscope,Гороскоп NOVA,Образ жизни,,,2026-07-29T18:37:02.152Z,https://www.rustore.ru/catalog/search?query=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF,https://www.rustore.ru/catalog/app/com.antonovka.horoscope
гороскоп,497,17,com.Blogproger.Financial_horoscope,Финансовый гороскоп,Образ жизни,,,2026-07-29T18:37:02.152Z,https://www.rustore.ru/catalog/search?query=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF,https://www.rustore.ru/catalog/app/com.Blogproger.Financial_horoscope
гороскоп,497,18,pisces.daily.horoscopes,"РЫБЫ Гороскоп на сегодня, завтра и на каждый день",Образ жизни·Развлечения,,,2026-07-29T18:37:02.152Z,https://www.rustore.ru/catalog/search?query=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF,https://www.rustore.ru/catalog/app/pisces.daily.horoscopes
гороскоп,497,19,com.velstar,Velstar: гороскоп и карты таро,Образ жизни,,,2026-07-29T18:37:02.152Z,https://www.rustore.ru/catalog/search?query=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF,https://www.rustore.ru/catalog/app/com.velstar
гороскоп,497,20,com.sopelus.horoscope,"Гороскопы бесплатно, натальная карта",Образ жизни,,,2026-07-29T18:37:02.152Z,https://www.rustore.ru/catalog/search?query=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF,https://www.rustore.ru/catalog/app/com.sopelus.horoscope
гороскопы,497,1,ru.mail.horo.android,Гороскопы,Образ жизни,,,2026-07-29T18:37:03.478Z,https://www.rustore.ru/catalog/search?query=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF%D1%8B,https://www.rustore.ru/catalog/app/ru.mail.horo.android
гороскопы,497,2,net.kosev.scoping,Гороскоп,Образ жизни,,,2026-07-29T18:37:03.478Z,https://www.rustore.ru/catalog/search?query=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF%D1%8B,https://www.rustore.ru/catalog/app/net.kosev.scoping
гороскопы,497,3,com.sopelus.horoscope,"Гороскопы бесплатно, натальная карта",Образ жизни,,,2026-07-29T18:37:03.478Z,https://www.rustore.ru/catalog/search?query=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF%D1%8B,https://www.rustore.ru/catalog/app/com.sopelus.horoscope
гороскопы,497,4,com.foresko.horoscopes,Гороскоп на каждый день: Астрология & Гороскопы,Образ жизни,,,2026-07-29T18:37:03.478Z,https://www.rustore.ru/catalog/search?query=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF%D1%8B,https://www.rustore.ru/catalog/app/com.foresko.horoscopes
гороскопы,497,5,com.zylonix.horoscope,Гороскоп на каждый день - онлайн,Образ жизни,,,2026-07-29T18:37:03.478Z,https://www.rustore.ru/catalog/search?query=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF%D1%8B,https://www.rustore.ru/catalog/app/com.zylonix.horoscope
