keyword,cluster,wordstat_broad,wordstat_phrase,wordstat_fixed,wordstat_scope,rustore_autocomplete,rustore_suggestions,rustore_serp_tested,rustore_result_count_displayed,rustore_top20_relevant_titles,asodesk_rustore_metric,stage,priority,product_fit,notes
гороскоп на завтра,horoscope,297761,,,Yandex Russia / smartphones / last available 30 days,no,"ДЕВА Гороскоп на сегодня, завтра и на каждый день | СТРЕЛЕЦ Гороскоп на сегодня, завтра и каждый день | ОВЕН Гороскоп на сегодня, завтра и на каждый день | дева гороскоп на сегодня завтра и на каждый день | овен гороскоп на сегодня завтра и на каждый день",yes,497,13,BLOCKED — profile links resolved to Google Play,growth,HIGH,HIGH,
гороскоп тельцам,horoscope,238426,,,Yandex Russia / smartphones / last available 30 days,no,,no,,,BLOCKED — profile links resolved to Google Play,growth,HIGH,HIGH,
знаки гороскопа,horoscope,204173,,,Yandex Russia / smartphones / last available 30 days,no,,no,,,BLOCKED — profile links resolved to Google Play,growth,HIGH,HIGH,
гороскоп зодиака,horoscope,168378,,,Yandex Russia / smartphones / last available 30 days,no,,no,,,BLOCKED — profile links resolved to Google Play,growth,HIGH,HIGH,
астрология,astrology,157376,,,Yandex Russia / smartphones / last available 30 days,no,,no,,,BLOCKED — profile links resolved to Google Play,growth,HIGH,HIGH,
гороскоп по знакам зодиака,horoscope,141237,,,Yandex Russia / smartphones / last available 30 days,no,,no,,,BLOCKED — profile links resolved to Google Play,growth,HIGH,HIGH,
натальная карта онлайн,natal,138423,,,Yandex Russia / smartphones / last available 30 days,no,,yes,476,1,BLOCKED — profile links resolved to Google Play,growth,HIGH,HIGH,
гороскоп по годам,horoscope,118790,,,Yandex Russia / smartphones / last available 30 days,no,,no,,,BLOCKED — profile links resolved to Google Play,growth,HIGH,HIGH,
точный гороскоп,horoscope,116488,,,Yandex Russia / smartphones / last available 30 days,partial,Astronym - Личный гороскоп | Гороскоп | Гороскопы,yes,495,0,BLOCKED — profile links resolved to Google Play,growth,HIGH,HIGH,
гороскоп на неделю,horoscope,92184,,,Yandex Russia / smartphones / last available 30 days,no,Гороскоп Рождения | Гороскопы | Velstar: гороскоп и карты таро,yes,497,0,BLOCKED — profile links resolved to Google Play,growth,HIGH,HIGH,
