"package_id","title","relation","icon_url","local_file"
"com.sopelus.horoscope","Гороскопы бесплатно, натальная карта","direct","https://static.rustore.ru/imgproxy/4SUAOOYLdeeKKRtabLV6nLDTc3CLirN5TxbeJIIFVK0/preset:web_app_icon_160/plain/https://static.rustore.ru/apk/2063642700/content/ICON/4cf492a6-1c93-45d7-89fc-41600dc6d076.png@webp","01_com.sopelus.horoscope.webp"
"ru.mynatalchart.app","Натальная карта рассчитать с расшифровкой онлайн","direct","https://static.rustore.ru/imgproxy/lrb73PDmyB-Qk0eNmv_9VX-NWbJ3NOfYlMwRd8lVB6w/preset:web_app_icon_160/plain/https://static.rustore.ru/2026/6/22/65/apk/2063722870/content/ICON/d546e542-9512-4ff8-a1ff-033f763a244b.jpg@webp","02_ru.mynatalchart.app.webp"
"com.aiastrologer.app","AI-Астролог, Таро, Астрология, Гороскоп, Астробот","direct","https://static.rustore.ru/imgproxy/1hfhLHLKeleCh3AReLgN29bipuEDPz_V9xSnGY58G2E/preset:web_app_icon_160/plain/https://static.rustore.ru/2026/7/9/a7/apk/2063730874/content/ICON/9883a02f-2920-4a9b-a268-a5a33b24e8ea.png@webp","03_com.aiastrologer.app.webp"
"ru.astrolloai.app","Astrollo AI — натальная карта и гороскопы","direct","https://static.rustore.ru/imgproxy/2OaiwVIuLve_hKUhfgNzehY4xT7X3vGs1wPINvjQmt0/preset:web_app_icon_62/plain/https://static.rustore.ru/2026/5/13/ec/apk/2063714344/content/ICON/b4d9d4ad-d1ec-450a-8c87-2cab890058fe.png@webp","04_ru.astrolloai.app.webp"
"com.matricasudbu.app.astro","Натальная карта. Астрология. Матрица Судьбы","direct","https://static.rustore.ru/imgproxy/8CPP3b_zl4GFvlQDIJS8uQz1vW4WbaJazeRsedTl3hs/preset:web_app_icon_62/plain/https://static.rustore.ru/2026/4/8/f1/apk/2063620377/content/ICON/fd8c2873-149b-4f33-a56f-8cc06282defe.png@webp","05_com.matricasudbu.app.astro.webp"
"com.natalchart.natalchartapp","Натальная карта","direct","https://static.rustore.ru/imgproxy/11JNnkSTerbtiucljuJIk2sZ8kS5XQlE5ezkj1P6QEk/preset:web_app_icon_160/plain/https://static.rustore.ru/2025/12/25/0a/apk/2063673012/content/ICON/a99cd865-9507-43cc-b17f-4b41c78e45f5.png@webp","06_com.natalchart.natalchartapp.webp"
"com.dixtalescat.astrocode","АстроКод: натальная карта","direct","https://static.rustore.ru/imgproxy/3owVctJFEsQd2TLTT7_BbBFykKKKriysLWI8HMLk-JA/preset:web_app_icon_160/plain/https://static.rustore.ru/2026/6/8/0f/apk/2063720975/content/ICON/bef8803c-ad72-444a-bb24-391a3247eac4.png@webp","07_com.dixtalescat.astrocode.webp"
"ru.neurodzen.app","Нейродзен — Натальная Карта, Гороскоп, Астрология","direct","https://static.rustore.ru/imgproxy/nfA0tBQpK8Xr_L0LbcXaD6iEAtoGrS_URK1GKpEP8k8/preset:web_app_icon_160/plain/https://static.rustore.ru/2026/1/12/4f/apk/2063667687/content/ICON/22a1939e-2d55-423b-80f1-f22a82ee2b5c.png@webp","08_ru.neurodzen.app.webp"
"com.kundalini.astroapp","Анима: Натальная карта и совместимость","direct","https://static.rustore.ru/imgproxy/N4KhpLve31DtPKGJ4mIOvbTG_86hIUIxkyHLrN-bH_s/preset:web_app_icon_160/plain/https://static.rustore.ru/2026/7/25/05/apk/2063730207/content/ICON/34c23c2b-ce1d-4cfe-8cf2-c891393df157.jpg@webp","09_com.kundalini.astroapp.webp"
"ru.astreya.app","Астрея: гороскоп, натальная карта, таро","direct","https://static.rustore.ru/imgproxy/tSumzrf3Nzd0bZeg8gPkINmMB5vnACa6v3k1foOXQNg/preset:web_app_icon_160/plain/https://static.rustore.ru/2026/7/13/8c/apk/2063731934/content/ICON/637f9c4d-1353-4100-9f95-f37c7de8bbc5.png@webp","10_ru.astreya.app.webp"
