research_date,query,query_result_count,rank,competitor,package,url,search_rating,exact_title_match,keyword_match,listing_rating,rating_count,review_count,installs,updated,screenshots,positioning,strong_side,weak_side,current_no1,leader_reason_hypothesis,meou_advantage,meou_gap,required_to_beat,winability_0_100,battle_class,evidence_type,confidence,source
2026-08-26,натальная карта,499,1,Натальная карта,com.natalchart.natalchartapp,https://www.rustore.ru/catalog/app/com.natalchart.natalchartapp,"2,5",yes,exact_title,"2,5",10,9,1 тыс +,15 янв 2026,5,"Точная астрология на основе математических вычислений. Приложение «Натальная карта» — это профессиональный инструмент для тех, кто ищет глубокий анал",Идеальное точное совпадение title с head-запросом,"2,5 при 10 оценках",Натальная карта,"HYPOTHESIS: точное совпадение title помогает №1 удерживать релевантность, несмотря на 2,5; алгоритмический вес exact match RuStore не раскрыт.","MEOU глубже: детерминированная карта, разбор, личный Дневник и совместимость.",Новый листинг без install/rating history и без exact head-фразы в текущем брендовом title.,"Title/short с точным natal intent без stuffing; 6–8 сильных скриншотов; 4,7+ rating; стабильный расчёт; 1–3 тыс+ качественных установок как первый proof milestone.",38,STRATEGIC BATTLE,EVIDENCE for live rank/listing facts; HYPOTHESIS for ranking reason,HIGH facts / MEDIUM inference,RuStore live search: https://www.rustore.ru/catalog/search?query=%D0%BD%D0%B0%D1%82%D0%B0%D0%BB%D1%8C%D0%BD%D0%B0%D1%8F+%D0%BA%D0%B0%D1%80%D1%82%D0%B0 | listing: https://www.rustore.ru/catalog/app/com.natalchart.natalchartapp
2026-08-26,натальная карта,499,2,Натальная карта рассчитать с расшифровкой онлайн,ru.mynatalchart.app,https://www.rustore.ru/catalog/app/ru.mynatalchart.app,"4,9",no,exact_phrase_in_title,"4,9",52,unknown,1 тыс +,24 июн 2026,6,"Натальная карта — ваш личный астрологический портрет, рассчитанный по дате, времени и месту рождения. Приложение помогает лучше понять себя: характер,",Точное long-tail title,Только 1 тыс+ установок,see rank 1,see rank 1,see rank 1,see rank 1,see rank 1,38,STRATEGIC BATTLE,EVIDENCE for live rank/listing facts; HYPOTHESIS for ranking reason,HIGH facts / MEDIUM inference,RuStore live search: https://www.rustore.ru/catalog/search?query=%D0%BD%D0%B0%D1%82%D0%B0%D0%BB%D1%8C%D0%BD%D0%B0%D1%8F+%D0%BA%D0%B0%D1%80%D1%82%D0%B0 | listing: https://www.rustore.ru/catalog/app/ru.mynatalchart.app
2026-08-26,натальная карта,499,3,Натальная карта. Астрология. Матрица Судьбы,com.matricasudbu.app.astro,https://www.rustore.ru/catalog/app/com.matricasudbu.app.astro,"4,9",no,exact_phrase_in_title,"4,9",205,24,3 тыс +,2 авг 2026,5,"Приложение ""Натальная карта. Астрология. Матрица Судьбы"" — это ваш личный астрологический помощник, который поможет раскрыть тайны вашего рождения, по","4,9 при 205 оценках",В отзывах видны жалобы на UTC/место рождения и регистрацию,see rank 1,see rank 1,see rank 1,see rank 1,see rank 1,38,STRATEGIC BATTLE,EVIDENCE for live rank/listing facts; HYPOTHESIS for ranking reason,HIGH facts / MEDIUM inference,RuStore live search: https://www.rustore.ru/catalog/search?query=%D0%BD%D0%B0%D1%82%D0%B0%D0%BB%D1%8C%D0%BD%D0%B0%D1%8F+%D0%BA%D0%B0%D1%80%D1%82%D0%B0 | listing: https://www.rustore.ru/catalog/app/com.matricasudbu.app.astro
2026-08-26,натальная карта,499,4,"Астрея: гороскоп, натальная карта, таро",ru.astreya.app,https://www.rustore.ru/catalog/app/ru.astreya.app,"5,0",no,exact_phrase_in_title,"5,0",418,32,1 тыс +,19 авг 2026,8,"Астрея — твой персональный астролог на базе искусственного интеллекта. Не общий гороскоп «для всех Овнов», а разбор именно твоей натальной карты: по д","5,0 при 418 оценках",Видимые установки 1 тыс+ ниже масштаба оценки,see rank 1,see rank 1,see rank 1,see rank 1,see rank 1,38,STRATEGIC BATTLE,EVIDENCE for live rank/listing facts; HYPOTHESIS for ranking reason,HIGH facts / MEDIUM inference,RuStore live search: https://www.rustore.ru/catalog/search?query=%D0%BD%D0%B0%D1%82%D0%B0%D0%BB%D1%8C%D0%BD%D0%B0%D1%8F+%D0%BA%D0%B0%D1%80%D1%82%D0%B0 | listing: https://www.rustore.ru/catalog/app/ru.astreya.app
2026-08-26,натальная карта,499,5,Астрокалендарь ENIGMATA. Ежедневный гороскоп,com.special_algorithmic_systems.engm_personal,https://www.rustore.ru/catalog/app/com.special_algorithmic_systems.engm_personal,"4,8",no,semantic_or_metadata_match,"4,8",56,45,10 тыс +,2 июл 2026,10,Полный функционал приложения доступен бесплатно первые 30 дней. Далее прогнозы доступны для подписчиков (платно). Приложение «Астрологический календа,10 тыс+,Отзывы сигналят о некорректной работе и обязательной регистрации,see rank 1,see rank 1,see rank 1,see rank 1,see rank 1,38,STRATEGIC BATTLE,EVIDENCE for live rank/listing facts; HYPOTHESIS for ranking reason,HIGH facts / MEDIUM inference,RuStore live search: https://www.rustore.ru/catalog/search?query=%D0%BD%D0%B0%D1%82%D0%B0%D0%BB%D1%8C%D0%BD%D0%B0%D1%8F+%D0%BA%D0%B0%D1%80%D1%82%D0%B0 | listing: https://www.rustore.ru/catalog/app/com.special_algorithmic_systems.engm_personal
2026-08-26,натальная карта,499,6,Astrollo AI — натальная карта и гороскопы,ru.astrolloai.app,https://www.rustore.ru/catalog/app/ru.astrolloai.app,"5,0",no,exact_phrase_in_title,"5,0",26,24,до 1 тыс,4 авг 2026,8,"Astrollo AI — твой персональный AI-астролог в телефоне. Рассчитай натальную карту и матрицу судьбы по дате рождения, читай гороскоп на сегодня и прове","5,0",До 1 тыс установок и только 26 оценок,see rank 1,see rank 1,see rank 1,see rank 1,see rank 1,38,STRATEGIC BATTLE,EVIDENCE for live rank/listing facts; HYPOTHESIS for ranking reason,HIGH facts / MEDIUM inference,RuStore live search: https://www.rustore.ru/catalog/search?query=%D0%BD%D0%B0%D1%82%D0%B0%D0%BB%D1%8C%D0%BD%D0%B0%D1%8F+%D0%BA%D0%B0%D1%80%D1%82%D0%B0 | listing: https://www.rustore.ru/catalog/app/ru.astrolloai.app
2026-08-26,натальная карта,499,7,"AI-Астролог, Таро, Астрология, Гороскоп, Астробот",com.aiastrologer.app,https://www.rustore.ru/catalog/app/com.aiastrologer.app,"4,7",no,semantic_or_metadata_match,"4,7",62,44,1 тыс +,4 авг 2026,10,"AI Астролог — это приложение с ИИ для тех, кто хочет получить персональный гороскоп, расклад таро, толкование снов, разбор натальной карты и советы на","4,7",Title перегружен пятью сущностями,see rank 1,see rank 1,see rank 1,see rank 1,see rank 1,38,STRATEGIC BATTLE,EVIDENCE for live rank/listing facts; HYPOTHESIS for ranking reason,HIGH facts / MEDIUM inference,RuStore live search: https://www.rustore.ru/catalog/search?query=%D0%BD%D0%B0%D1%82%D0%B0%D0%BB%D1%8C%D0%BD%D0%B0%D1%8F+%D0%BA%D0%B0%D1%80%D1%82%D0%B0 | listing: https://www.rustore.ru/catalog/app/com.aiastrologer.app
2026-08-26,натальная карта,499,8,"Нейродзен — Натальная Карта, Гороскоп, Астрология",ru.neurodzen.app,https://www.rustore.ru/catalog/app/ru.neurodzen.app,"2,6",no,exact_phrase_in_title,"2,6",5,unknown,1 тыс +,12 янв 2026,4,"Нейродзен — это личный ИИ-астролог и нумеролог, который за минуты строит натальные карты, анализирует совместимость, находит удачные периоды и отвечае",Широкое title coverage,"2,6 при 5 оценках",see rank 1,see rank 1,see rank 1,see rank 1,see rank 1,38,STRATEGIC BATTLE,EVIDENCE for live rank/listing facts; HYPOTHESIS for ranking reason,HIGH facts / MEDIUM inference,RuStore live search: https://www.rustore.ru/catalog/search?query=%D0%BD%D0%B0%D1%82%D0%B0%D0%BB%D1%8C%D0%BD%D0%B0%D1%8F+%D0%BA%D0%B0%D1%80%D1%82%D0%B0 | listing: https://www.rustore.ru/catalog/app/ru.neurodzen.app
2026-08-26,натальная карта,499,9,Астрологические Карты Lite,ru.astro.chartslite,https://www.rustore.ru/catalog/app/ru.astro.chartslite,"4,4",no,semantic_or_metadata_match,unknown,unknown,unknown,unknown,unknown,unknown,Positioning inferred from visible RuStore title only.,"Visible rating 4,4 in search.",Detail metrics not audited in 25-app deep sample.,see rank 1,see rank 1,see rank 1,see rank 1,see rank 1,38,STRATEGIC BATTLE,EVIDENCE for live rank/listing facts; HYPOTHESIS for ranking reason,HIGH rank / LOW detail,RuStore live search: https://www.rustore.ru/catalog/search?query=%D0%BD%D0%B0%D1%82%D0%B0%D0%BB%D1%8C%D0%BD%D0%B0%D1%8F+%D0%BA%D0%B0%D1%80%D1%82%D0%B0
2026-08-26,натальная карта,499,10,Натальная карта - AstroChart,com.birth.chart.natal.horoscope.astrology.tarot,https://www.rustore.ru/catalog/app/com.birth.chart.natal.horoscope.astrology.tarot,unknown,no,exact_phrase_in_title,unknown,unknown,unknown,до 1 тыс,10 окт 2025,4,"Скачайте AstroChart: Натальная карта прямо сейчас — это безопасное приложение с проверенной репутацией, которое работает стабильно на современных смар",Keyword-forward title,Нет видимого рейтинга,see rank 1,see rank 1,see rank 1,see rank 1,see rank 1,38,STRATEGIC BATTLE,EVIDENCE for live rank/listing facts; HYPOTHESIS for ranking reason,HIGH facts / MEDIUM inference,RuStore live search: https://www.rustore.ru/catalog/search?query=%D0%BD%D0%B0%D1%82%D0%B0%D0%BB%D1%8C%D0%BD%D0%B0%D1%8F+%D0%BA%D0%B0%D1%80%D1%82%D0%B0 | listing: https://www.rustore.ru/catalog/app/com.birth.chart.natal.horoscope.astrology.tarot
