research_date,competitor,package,url,segment,horoscope,natal,compatibility,matrix,ai,rating,rating_count,review_count,installs,updated,screenshots,category,tags,top10_query_positions,aso_strength_0_100,positioning,strong_sides,weak_sides,review_signal,evidence_type,confidence,source,comment
2026-08-26,Натальная карта рассчитать с расшифровкой онлайн,ru.mynatalchart.app,https://www.rustore.ru/catalog/app/ru.mynatalchart.app,натальная карта / прямой,yes,yes,yes,not_evidenced,not_evidenced,"4,9",52,unknown,1 тыс +,24 июн 2026,6,Образ жизни,Гороскопы; Медитация; Самосовершенствование; Стиль жизни; Личные помощники,натальная карта#2; натальная карта с расшифровкой#2; рассчитать натальную карту#1; совместимость по дате рождения#7; совместимость натальных карт#2,88,"Натальная карта — ваш личный астрологический портрет, рассчитанный по дате, времени и месту рождения. Приложение помогает лучше понять себя: характер, сильные стороны, зоны роста и личные сценарии — спокойно и понятным я","Точное long-tail title; 4,9 при 52 оценках; полная карта, разбор, прогноз дня, совместимость и вопрос по карте; 6 скриншотов.",Только 1 тыс+ установок; title выглядит перегруженным ключами; дата обновления 24 июн 2026.,unknown,EVIDENCE,HIGH for visible listing facts; MEDIUM for analysis,https://www.rustore.ru/catalog/app/ru.mynatalchart.app | https://www.rustore.ru/catalog/search?query=%D0%BD%D0%B0%D1%82%D0%B0%D0%BB%D1%8C%D0%BD%D0%B0%D1%8F+%D0%BA%D0%B0%D1%80%D1%82%D0%B0 | https://www.rustore.ru/catalog/search?query=%D0%BD%D0%B0%D1%82%D0%B0%D0%BB%D1%8C%D0%BD%D0%B0%D1%8F+%D0%BA%D0%B0%D1%80%D1%82%D0%B0+%D1%81+%D1%80%D0%B0%D1%81%D1%88%D0%B8%D1%84%D1%80%D0%BE%D0%B2%D0%BA%D0%BE%D0%B9 | https://www.rustore.ru/catalog/search?query=%D1%80%D0%B0%D1%81%D1%81%D1%87%D0%B8%D1%82%D0%B0%D1%82%D1%8C+%D0%BD%D0%B0%D1%82%D0%B0%D0%BB%D1%8C%D0%BD%D1%83%D1%8E+%D0%BA%D0%B0%D1%80%D1%82%D1%83 | https://www.rustore.ru/catalog/search?query=%D1%81%D0%BE%D0%B2%D0%BC%D0%B5%D1%81%D1%82%D0%B8%D0%BC%D0%BE%D1%81%D1%82%D1%8C+%D0%BF%D0%BE+%D0%B4%D0%B0%D1%82%D0%B5+%D1%80%D0%BE%D0%B6%D0%B4%D0%B5%D0%BD%D0%B8%D1%8F | https://www.rustore.ru/catalog/search?query=%D1%81%D0%BE%D0%B2%D0%BC%D0%B5%D1%81%D1%82%D0%B8%D0%BC%D0%BE%D1%81%D1%82%D1%8C+%D0%BD%D0%B0%D1%82%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D1%85+%D0%BA%D0%B0%D1%80%D1%82,Сильный benchmark для интента расчёта и расшифровки.
2026-08-26,Натальная карта. Астрология. Матрица Судьбы,com.matricasudbu.app.astro,https://www.rustore.ru/catalog/app/com.matricasudbu.app.astro,натальная карта + матрица / прямой,not_evidenced,yes,not_evidenced,yes,not_evidenced,"4,9",205,24,3 тыс +,2 авг 2026,5,Образ жизни,Самосовершенствование; Стиль жизни,натальная карта#3; натальная карта с расшифровкой#3; рассчитать натальную карту#2; совместимость натальных карт#3; астрология#2,90,"Приложение ""Натальная карта. Астрология. Матрица Судьбы"" — это ваш личный астрологический помощник, который поможет раскрыть тайны вашего рождения, понять свой потенциал и найти ответы на важные вопросы жизни. Введите да","4,9 при 205 оценках; 3 тыс+; свежее обновление; title покрывает три head-кластера.",В отзывах видны жалобы на UTC/место рождения и регистрацию; только 5 скриншотов.,Очень класное приложения Ещё | Работает ли при белых списках? Ещё,EVIDENCE,HIGH for visible listing facts; MEDIUM for analysis,https://www.rustore.ru/catalog/app/com.matricasudbu.app.astro | https://www.rustore.ru/catalog/search?query=%D0%BD%D0%B0%D1%82%D0%B0%D0%BB%D1%8C%D0%BD%D0%B0%D1%8F+%D0%BA%D0%B0%D1%80%D1%82%D0%B0 | https://www.rustore.ru/catalog/search?query=%D0%BD%D0%B0%D1%82%D0%B0%D0%BB%D1%8C%D0%BD%D0%B0%D1%8F+%D0%BA%D0%B0%D1%80%D1%82%D0%B0+%D1%81+%D1%80%D0%B0%D1%81%D1%88%D0%B8%D1%84%D1%80%D0%BE%D0%B2%D0%BA%D0%BE%D0%B9 | https://www.rustore.ru/catalog/search?query=%D1%80%D0%B0%D1%81%D1%81%D1%87%D0%B8%D1%82%D0%B0%D1%82%D1%8C+%D0%BD%D0%B0%D1%82%D0%B0%D0%BB%D1%8C%D0%BD%D1%83%D1%8E+%D0%BA%D0%B0%D1%80%D1%82%D1%83 | https://www.rustore.ru/catalog/search?query=%D1%81%D0%BE%D0%B2%D0%BC%D0%B5%D1%81%D1%82%D0%B8%D0%BC%D0%BE%D1%81%D1%82%D1%8C+%D0%BD%D0%B0%D1%82%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D1%85+%D0%BA%D0%B0%D1%80%D1%82 | https://www.rustore.ru/catalog/search?query=%D0%B0%D1%81%D1%82%D1%80%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%8F,Сильный мультикластерный конкурент; product claim шире MEOU.
2026-08-26,"Астрея: гороскоп, натальная карта, таро",ru.astreya.app,https://www.rustore.ru/catalog/app/ru.astreya.app,AI-астролог / прямой,yes,yes,yes,not_evidenced,yes,"5,0",418,32,1 тыс +,19 авг 2026,8,Образ жизни,Гороскопы; Самосовершенствование; Стиль жизни; Социальные; События,натальная карта#4; личный гороскоп#7; персональный гороскоп#2,93,"Астрея — твой персональный астролог на базе искусственного интеллекта. Не общий гороскоп «для всех Овнов», а разбор именно твоей натальной карты: по дате, времени и месту рождения. ✨ Что умеет Астрея: - Натальная карта","5,0 при 418 оценках; обновление 19 авг 2026; 8 скриншотов; персональный AI, натальная карта, гороскоп и таро.",Видимые установки 1 тыс+ ниже масштаба оценки; широкий набор сценариев может размывать основной интент.,"Сделала натальную карту и была удивлена точностью описания характера. Приятно, что всё привязано к моим данным, а не общим фразам. Ещё | Астрея говорит по-человечески, без роботизированного тона. Это важно для астрологии, где важна интуиция и доверие. Ещё",EVIDENCE,HIGH for visible listing facts; MEDIUM for analysis,https://www.rustore.ru/catalog/app/ru.astreya.app | https://www.rustore.ru/catalog/search?query=%D0%BD%D0%B0%D1%82%D0%B0%D0%BB%D1%8C%D0%BD%D0%B0%D1%8F+%D0%BA%D0%B0%D1%80%D1%82%D0%B0 | https://www.rustore.ru/catalog/search?query=%D0%BB%D0%B8%D1%87%D0%BD%D1%8B%D0%B9+%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF | https://www.rustore.ru/catalog/search?query=%D0%BF%D0%B5%D1%80%D1%81%D0%BE%D0%BD%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9+%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF,Главный quality/CVR benchmark среди новых приложений.
2026-08-26,Астрокалендарь ENIGMATA. Ежедневный гороскоп,com.special_algorithmic_systems.engm_personal,https://www.rustore.ru/catalog/app/com.special_algorithmic_systems.engm_personal,ежедневный гороскоп / прямой,yes,yes,not_evidenced,not_evidenced,not_evidenced,"4,8",56,45,10 тыс +,2 июл 2026,10,Полезные инструменты,Гороскопы; Самосовершенствование; Стиль жизни; Календарь; Личные помощники,натальная карта#5; натальная карта с расшифровкой#1; гороскоп#4,92,Полный функционал приложения доступен бесплатно первые 30 дней. Далее прогнозы доступны для подписчиков (платно). Приложение «Астрологический календарь» использует для прогнозирования алгоритмическую астрологическую мод,"10 тыс+; 4,8; 56 оценок; 10 скриншотов; точное ежедневное позиционирование и календарный формат.",Отзывы сигналят о некорректной работе и обязательной регистрации; платный доступ после 30 дней.,Некорректно работает Ещё | Начерта нужна регистрация? Ещё,EVIDENCE,HIGH for visible listing facts; MEDIUM for analysis,https://www.rustore.ru/catalog/app/com.special_algorithmic_systems.engm_personal | https://www.rustore.ru/catalog/search?query=%D0%BD%D0%B0%D1%82%D0%B0%D0%BB%D1%8C%D0%BD%D0%B0%D1%8F+%D0%BA%D0%B0%D1%80%D1%82%D0%B0 | https://www.rustore.ru/catalog/search?query=%D0%BD%D0%B0%D1%82%D0%B0%D0%BB%D1%8C%D0%BD%D0%B0%D1%8F+%D0%BA%D0%B0%D1%80%D1%82%D0%B0+%D1%81+%D1%80%D0%B0%D1%81%D1%88%D0%B8%D1%84%D1%80%D0%BE%D0%B2%D0%BA%D0%BE%D0%B9 | https://www.rustore.ru/catalog/search?query=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF,Сильнейший benchmark масштаба в исследованной новой когорте.
2026-08-26,Astrollo AI — натальная карта и гороскопы,ru.astrolloai.app,https://www.rustore.ru/catalog/app/ru.astrolloai.app,AI + натальная карта / прямой,yes,yes,yes,yes,yes,"5,0",26,24,до 1 тыс,4 авг 2026,8,Образ жизни,Гороскопы; Самосовершенствование; Стиль жизни; Личные помощники; Энциклопедии,натальная карта#6; натальная карта с расшифровкой#5; рассчитать натальную карту#3; ИИ астролог#6,84,"Astrollo AI — твой персональный AI-астролог в телефоне. Рассчитай натальную карту и матрицу судьбы по дате рождения, читай гороскоп на сегодня и проверяй совместимость — точные астрологические расчёты и подробная расшифр","5,0; свежее обновление; 8 скриншотов; title естественно покрывает natal + horoscope.",До 1 тыс установок и только 26 оценок; смешивает матрицу судьбы и астрологию.,"Отличное и удобное приложение. Теперь мое каждое утро начинается с этого приложения: открываю гороскоп и планирую день с учетом звёзд. Прогнозы мотивируют и поднимают настроение. Ещё | Натальная карта строится за секунды. Описания понятные, без лишней воды. Гороскопы на день совпадают на удивление часто. Интерфейс очень приятный и удобный. Ещё",EVIDENCE,HIGH for visible listing facts; MEDIUM for analysis,https://www.rustore.ru/catalog/app/ru.astrolloai.app | https://www.rustore.ru/catalog/search?query=%D0%BD%D0%B0%D1%82%D0%B0%D0%BB%D1%8C%D0%BD%D0%B0%D1%8F+%D0%BA%D0%B0%D1%80%D1%82%D0%B0 | https://www.rustore.ru/catalog/search?query=%D0%BD%D0%B0%D1%82%D0%B0%D0%BB%D1%8C%D0%BD%D0%B0%D1%8F+%D0%BA%D0%B0%D1%80%D1%82%D0%B0+%D1%81+%D1%80%D0%B0%D1%81%D1%88%D0%B8%D1%84%D1%80%D0%BE%D0%B2%D0%BA%D0%BE%D0%B9 | https://www.rustore.ru/catalog/search?query=%D1%80%D0%B0%D1%81%D1%81%D1%87%D0%B8%D1%82%D0%B0%D1%82%D1%8C+%D0%BD%D0%B0%D1%82%D0%B0%D0%BB%D1%8C%D0%BD%D1%83%D1%8E+%D0%BA%D0%B0%D1%80%D1%82%D1%83 | https://www.rustore.ru/catalog/search?query=%D0%98%D0%98+%D0%B0%D1%81%D1%82%D1%80%D0%BE%D0%BB%D0%BE%D0%B3,"Прямой молодой конкурент с хорошей карточкой, но ограниченным proof."
2026-08-26,Натальная карта,com.natalchart.natalchartapp,https://www.rustore.ru/catalog/app/com.natalchart.natalchartapp,натальная карта / монопродукт,yes,yes,yes,yes,not_evidenced,"2,5",10,9,1 тыс +,15 янв 2026,5,Образ жизни,Гороскопы; Самосовершенствование; Стиль жизни; События,натальная карта#1; натальная карта с расшифровкой#4; рассчитать натальную карту#4; совместимость натальных карт#4,70,"Точная астрология на основе математических вычислений. Приложение «Натальная карта» — это профессиональный инструмент для тех, кто ищет глубокий анализ личности и объективные прогнозы. В отличие от развлекательных горос",Идеальное точное совпадение title с head-запросом; №1 по «натальная карта» на дату аудита.,"2,5 при 10 оценках; негативные отзывы о первом запуске; обновление 15 янв 2026.",Очень странная работа приложеня. Первое влючение и облом Ещё | Г... полное Ещё,EVIDENCE,HIGH for visible listing facts; MEDIUM for analysis,https://www.rustore.ru/catalog/app/com.natalchart.natalchartapp | https://www.rustore.ru/catalog/search?query=%D0%BD%D0%B0%D1%82%D0%B0%D0%BB%D1%8C%D0%BD%D0%B0%D1%8F+%D0%BA%D0%B0%D1%80%D1%82%D0%B0 | https://www.rustore.ru/catalog/search?query=%D0%BD%D0%B0%D1%82%D0%B0%D0%BB%D1%8C%D0%BD%D0%B0%D1%8F+%D0%BA%D0%B0%D1%80%D1%82%D0%B0+%D1%81+%D1%80%D0%B0%D1%81%D1%88%D0%B8%D1%84%D1%80%D0%BE%D0%B2%D0%BA%D0%BE%D0%B9 | https://www.rustore.ru/catalog/search?query=%D1%80%D0%B0%D1%81%D1%81%D1%87%D0%B8%D1%82%D0%B0%D1%82%D1%8C+%D0%BD%D0%B0%D1%82%D0%B0%D0%BB%D1%8C%D0%BD%D1%83%D1%8E+%D0%BA%D0%B0%D1%80%D1%82%D1%83 | https://www.rustore.ru/catalog/search?query=%D1%81%D0%BE%D0%B2%D0%BC%D0%B5%D1%81%D1%82%D0%B8%D0%BC%D0%BE%D1%81%D1%82%D1%8C+%D0%BD%D0%B0%D1%82%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D1%85+%D0%BA%D0%B0%D1%80%D1%82,Ключевое evidence: exact-title лидер может держаться несмотря на слабый rating.
2026-08-26,"AI-Астролог, Таро, Астрология, Гороскоп, Астробот",com.aiastrologer.app,https://www.rustore.ru/catalog/app/com.aiastrologer.app,AI-астролог / прямой,yes,yes,yes,not_evidenced,yes,"4,7",62,44,1 тыс +,4 авг 2026,10,Образ жизни,Гороскопы; Медитация; Самосовершенствование; Сон; Личные помощники,натальная карта#7; гороскоп#6; личный гороскоп#4; персональный гороскоп#8; ИИ астролог#2; астрология#1,89,"AI Астролог — это приложение с ИИ для тех, кто хочет получить персональный гороскоп, расклад таро, толкование снов, разбор натальной карты и советы на каждый день в одном месте. Здесь собраны важные функции: гороскоп по ","4,7; 62 оценки; 10 скриншотов; broad feature set и сильное покрытие AI/астрология/гороскоп/натальная карта.",Title перегружен пятью сущностями; только 1 тыс+; продукт смешивает таро и сонник.,"Приятно удивлён качеством. Натальная карта построена с учётом всех аспектов, гороскопы персонализированы. Ещё | Алексей, спасибо за тёплые слова! Очень рады, что натальная карта и персональный гороскоп на сегодня оказались точными и полезными. Мы стараемся, чтобы каждый астропрогноз был глубоким и учитывал все нюансы. Заглядывайте в приложение почаще — там много интересного для самопознания! Ещё",EVIDENCE,HIGH for visible listing facts; MEDIUM for analysis,https://www.rustore.ru/catalog/app/com.aiastrologer.app | https://www.rustore.ru/catalog/search?query=%D0%BD%D0%B0%D1%82%D0%B0%D0%BB%D1%8C%D0%BD%D0%B0%D1%8F+%D0%BA%D0%B0%D1%80%D1%82%D0%B0 | https://www.rustore.ru/catalog/search?query=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF | https://www.rustore.ru/catalog/search?query=%D0%BB%D0%B8%D1%87%D0%BD%D1%8B%D0%B9+%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF | https://www.rustore.ru/catalog/search?query=%D0%BF%D0%B5%D1%80%D1%81%D0%BE%D0%BD%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9+%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF | https://www.rustore.ru/catalog/search?query=%D0%98%D0%98+%D0%B0%D1%81%D1%82%D1%80%D0%BE%D0%BB%D0%BE%D0%B3 | https://www.rustore.ru/catalog/search?query=%D0%B0%D1%81%D1%82%D1%80%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%8F,Лидер broad «астрология» в живой выдаче.
2026-08-26,"Нейродзен — Натальная Карта, Гороскоп, Астрология",ru.neurodzen.app,https://www.rustore.ru/catalog/app/ru.neurodzen.app,AI + натальная карта / прямой,yes,yes,yes,yes,yes,"2,6",5,unknown,1 тыс +,12 янв 2026,4,Развлечения,Гороскопы; Медитация; Стиль жизни; Йога,натальная карта#8; совместимость натальных карт#6; ИИ астролог#4,61,"Нейродзен — это личный ИИ-астролог и нумеролог, который за минуты строит натальные карты, анализирует совместимость, находит удачные периоды и отвечает на ваши вопросы в чате. Обученный искусственный интеллект сочетает в","Широкое title coverage; 1 тыс+; натальная карта, совместимость, AI-вопросы.","2,6 при 5 оценках; 4 скриншота; жалобы на бесполезную free-версию и платность; обновление январь 2026.","Очень неудобно, мало планет, мелко всё, без расшифровок, как минимум бесплатная версия бесполезная. Ещё | Хочется его полностью бесплатное иметь . это приложение . за платность минус 2 звезды Ещё",EVIDENCE,HIGH for visible listing facts; MEDIUM for analysis,https://www.rustore.ru/catalog/app/ru.neurodzen.app | https://www.rustore.ru/catalog/search?query=%D0%BD%D0%B0%D1%82%D0%B0%D0%BB%D1%8C%D0%BD%D0%B0%D1%8F+%D0%BA%D0%B0%D1%80%D1%82%D0%B0 | https://www.rustore.ru/catalog/search?query=%D1%81%D0%BE%D0%B2%D0%BC%D0%B5%D1%81%D1%82%D0%B8%D0%BC%D0%BE%D1%81%D1%82%D1%8C+%D0%BD%D0%B0%D1%82%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D1%85+%D0%BA%D0%B0%D1%80%D1%82 | https://www.rustore.ru/catalog/search?query=%D0%98%D0%98+%D0%B0%D1%81%D1%82%D1%80%D0%BE%D0%BB%D0%BE%D0%B3,Semantic coverage сильнее product trust.
2026-08-26,Натальная карта - AstroChart,com.birth.chart.natal.horoscope.astrology.tarot,https://www.rustore.ru/catalog/app/com.birth.chart.natal.horoscope.astrology.tarot,натальная карта / монопродукт,yes,yes,not_evidenced,not_evidenced,not_evidenced,unknown,unknown,unknown,до 1 тыс,10 окт 2025,4,Образ жизни,Гороскопы; Стиль жизни,натальная карта#10; натальная карта с расшифровкой#7; рассчитать натальную карту#6,57,"Скачайте AstroChart: Натальная карта прямо сейчас — это безопасное приложение с проверенной репутацией, которое работает стабильно на современных смартфонах и не требует постоянного подключения к интернету для просмотра ",Keyword-forward title; офлайн-доступ заявлен в карточке.,Нет видимого рейтинга; до 1 тыс; 4 скриншота; обновление 10 окт 2025.,unknown,EVIDENCE,HIGH for visible listing facts; MEDIUM for analysis,https://www.rustore.ru/catalog/app/com.birth.chart.natal.horoscope.astrology.tarot | https://www.rustore.ru/catalog/search?query=%D0%BD%D0%B0%D1%82%D0%B0%D0%BB%D1%8C%D0%BD%D0%B0%D1%8F+%D0%BA%D0%B0%D1%80%D1%82%D0%B0 | https://www.rustore.ru/catalog/search?query=%D0%BD%D0%B0%D1%82%D0%B0%D0%BB%D1%8C%D0%BD%D0%B0%D1%8F+%D0%BA%D0%B0%D1%80%D1%82%D0%B0+%D1%81+%D1%80%D0%B0%D1%81%D1%88%D0%B8%D1%84%D1%80%D0%BE%D0%B2%D0%BA%D0%BE%D0%B9 | https://www.rustore.ru/catalog/search?query=%D1%80%D0%B0%D1%81%D1%81%D1%87%D0%B8%D1%82%D0%B0%D1%82%D1%8C+%D0%BD%D0%B0%D1%82%D0%B0%D0%BB%D1%8C%D0%BD%D1%83%D1%8E+%D0%BA%D0%B0%D1%80%D1%82%D1%83,"Слабый по social proof, но индексируется по natal-кластеру."
2026-08-26,AstroPersona — твой гороскоп и натальная карта,com.astropersona,https://www.rustore.ru/catalog/app/com.astropersona,персональный гороскоп + natal / прямой,yes,yes,yes,not_evidenced,yes,"4,0",12,5,3 тыс +,13 мар 2026,8,Образ жизни,Работа; Стиль жизни; Социальные; События,персональный гороскоп#5; гороскоп на месяц#5; ИИ астролог#9,76,"Персональный гороскоп, персональный ИИ астролог, натальная карта и описание, прогноз на месяц по данным рождения, ответы на хорарные вопросы, личная совместимость и деловое партнёрство. AstroPersona – это одно из немног","3 тыс+; гороскоп дня/месяца, natal, совместимость и вопросы; 8 скриншотов.","4,0; отзыв ставит под сомнение корректность асцендента; обновление 13 мар 2026.","Не правильно определяет асциндент и другие знаки в планетах. Заказывала разбор натальной карты два раза у людей работающих по натальной карте, плюс сама разбирала свою натальную карту. Мой асциндент во Льве а приложение показывает в деве🤣 это же огромнейшая ошибка , разбор уже будет не правильный и не точный. 2 звезды вам за интерфейс больше не чего оценивать Ещё | Крутое приложение, стало намного лучше, чем раньше)) Наконец-то, до разрабов дошло, что можно прикрутить гороскоп на день, реально удобная штука Ещё",EVIDENCE,HIGH for visible listing facts; MEDIUM for analysis,https://www.rustore.ru/catalog/app/com.astropersona | https://www.rustore.ru/catalog/search?query=%D0%BF%D0%B5%D1%80%D1%81%D0%BE%D0%BD%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9+%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF | https://www.rustore.ru/catalog/search?query=%D0%B3%D0%BE%D1%80%D0%BE%D1%81%D0%BA%D0%BE%D0%BF+%D0%BD%D0%B0+%D0%BC%D0%B5%D1%81%D1%8F%D1%86 | https://www.rustore.ru/catalog/search?query=%D0%98%D0%98+%D0%B0%D1%81%D1%82%D1%80%D0%BE%D0%BB%D0%BE%D0%B3,Прямой competitor для MEOU Diary + natal.
