"keyword","cluster","intent","product_relevance","status","tier","target_placement","notes","asodesk_us_daily_impressions","asodesk_us_difficulty","asodesk_us_calculation_status","asodesk_us_source_url","asodesk_us_metric_warning"
"natal chart","Natal chart","Build or understand a calculated birth chart","10","Target","S","title","Current 30-key EN anchor. Real MEOU capability; validate demand before promotion","0","58","ready","https://hq.asodesk.com/aso-tools/find-and-track/com.matricasudbu.app.astro?locale=us","Approximate ASOdesk metric; total apps is visible result count; benchmark rank is not MEOU rank"
"natal chart interpretation","Natal chart","Build or understand a calculated birth chart","10","Target","S","short/full","Current 30-key EN anchor. Premium or deep-access intent","Calc","0","calculating","https://hq.asodesk.com/aso-tools/find-and-track/com.matricasudbu.app.astro?locale=us","Approximate ASOdesk metric; total apps is visible result count; benchmark rank is not MEOU rank"
"calculate natal chart","Natal chart","Build or understand a calculated birth chart","10","Target","S","short/full","Current 30-key EN anchor. Real MEOU capability; validate demand before promotion","0","55","ready","https://hq.asodesk.com/aso-tools/find-and-track/com.matricasudbu.app.astro?locale=us","Approximate ASOdesk metric; total apps is visible result count; benchmark rank is not MEOU rank"
"horoscope","Personal forecast","Read a personalized forecast for the selected period","9","Target","S","short/full","Current 30-key EN anchor. Real MEOU capability; validate demand before promotion","1446","72","ready","https://hq.asodesk.com/aso-tools/find-and-track/com.matricasudbu.app.astro?locale=us","Approximate ASOdesk metric; total apps is visible result count; benchmark rank is not MEOU rank"
"horoscope today","Personal forecast","Read a personalized forecast for the selected period","9","Target","S","short/full","Current 30-key EN anchor. Real MEOU capability; validate demand before promotion","0","52","ready","https://hq.asodesk.com/aso-tools/find-and-track/com.matricasudbu.app.astro?locale=us","Approximate ASOdesk metric; total apps is visible result count; benchmark rank is not MEOU rank"
"daily horoscope","Personal forecast","Read a personalized forecast for the selected period","9","Target","S","short/full","Current 30-key EN anchor. Real MEOU capability; validate demand before promotion","0","59","ready","https://hq.asodesk.com/aso-tools/find-and-track/com.matricasudbu.app.astro?locale=us","Approximate ASOdesk metric; total apps is visible result count; benchmark rank is not MEOU rank"
"personal horoscope","Personal forecast","Read a personalized forecast for the selected period","9","Target","S","short/full","Current 30-key EN anchor. Real MEOU capability; validate demand before promotion","0","52","ready","https://hq.asodesk.com/aso-tools/find-and-track/com.matricasudbu.app.astro?locale=us","Approximate ASOdesk metric; total apps is visible result count; benchmark rank is not MEOU rank"
"personalized horoscope","Personal forecast","Read a personalized forecast for the selected period","9","Target","S","short/full","Current 30-key EN anchor. Real MEOU capability; validate demand before promotion","0","53","ready","https://hq.asodesk.com/aso-tools/find-and-track/com.matricasudbu.app.astro?locale=us","Approximate ASOdesk metric; total apps is visible result count; benchmark rank is not MEOU rank"
"weekly horoscope","Personal forecast","Read a personalized forecast for the selected period","9","Target","S","short/full","Current 30-key EN anchor. Premium or deep-access intent","0","51","ready","https://hq.asodesk.com/aso-tools/find-and-track/com.matricasudbu.app.astro?locale=us","Approximate ASOdesk metric; total apps is visible result count; benchmark rank is not MEOU rank"
"monthly horoscope","Personal forecast","Read a personalized forecast for the selected period","9","Target","S","short/full","Current 30-key EN anchor. Premium or deep-access intent","0","50","ready","https://hq.asodesk.com/aso-tools/find-and-track/com.matricasudbu.app.astro?locale=us","Approximate ASOdesk metric; total apps is visible result count; benchmark rank is not MEOU rank"
"zodiac compatibility","Compatibility","Check sign compatibility or compare two calculated charts","9","Target","S","short/full/visual","Current 30-key EN anchor. Real MEOU capability; validate demand before promotion","0","30","calculating","https://hq.asodesk.com/aso-tools/find-and-track/com.matricasudbu.app.astro?locale=us","Approximate ASOdesk metric; total apps is visible result count; benchmark rank is not MEOU rank"
"birth date compatibility","Compatibility","Check sign compatibility or compare two calculated charts","9","Target","S","short/full/visual","Current 30-key EN anchor. Real MEOU capability; validate demand before promotion","Calc","0","calculating","https://hq.asodesk.com/aso-tools/find-and-track/com.matricasudbu.app.astro?locale=us","Approximate ASOdesk metric; total apps is visible result count; benchmark rank is not MEOU rank"
"natal chart compatibility","Compatibility","Check sign compatibility or compare two calculated charts","9","Target","S","short/full/visual","Current 30-key EN anchor. Real MEOU capability; validate demand before promotion","0","48","ready","https://hq.asodesk.com/aso-tools/find-and-track/com.matricasudbu.app.astro?locale=us","Approximate ASOdesk metric; total apps is visible result count; benchmark rank is not MEOU rank"
"AI astrologer","AI astrology","Get an AI-generated forecast or saved-chart answer","8","Target","S","full/visual","Current 30-key EN anchor. AI only; do not imply a human astrologer or full-screen chat","0","47","calculating","https://hq.asodesk.com/aso-tools/find-and-track/com.matricasudbu.app.astro?locale=us","Approximate ASOdesk metric; total apps is visible result count; benchmark rank is not MEOU rank"
"astrology","Astrology discovery","Find a general astrology application","8","Target","S","full","Current 30-key EN anchor. Real MEOU capability; validate demand before promotion","1894","70","ready","https://hq.asodesk.com/aso-tools/find-and-track/com.matricasudbu.app.astro?locale=us","Approximate ASOdesk metric; total apps is visible result count; benchmark rank is not MEOU rank"
"birth chart","Natal chart","Build or understand a calculated birth chart","10","Target","A","short/full","Current 30-key EN anchor. Real MEOU capability; validate demand before promotion","0","48","ready","https://hq.asodesk.com/aso-tools/find-and-track/com.matricasudbu.app.astro?locale=us","Approximate ASOdesk metric; total apps is visible result count; benchmark rank is not MEOU rank"
"birth chart calculator","Natal chart","Build or understand a calculated birth chart","10","Target","A","short/full","Current 30-key EN anchor. Real MEOU capability; validate demand before promotion","0","49","calculating","https://hq.asodesk.com/aso-tools/find-and-track/com.matricasudbu.app.astro?locale=us","Approximate ASOdesk metric; total apps is visible result count; benchmark rank is not MEOU rank"
"birth chart interpretation","Natal chart","Build or understand a calculated birth chart","10","Target","A","short/full","Current 30-key EN anchor. Premium or deep-access intent","Calc","0","calculating","https://hq.asodesk.com/aso-tools/find-and-track/com.matricasudbu.app.astro?locale=us","Approximate ASOdesk metric; total apps is visible result count; benchmark rank is not MEOU rank"
"natal chart by birth date","Natal chart","Build or understand a calculated birth chart","10","Target","A","short/full","Current 30-key EN anchor. Real MEOU capability; validate demand before promotion","Calc","0","calculating","https://hq.asodesk.com/aso-tools/find-and-track/com.matricasudbu.app.astro?locale=us","Approximate ASOdesk metric; total apps is visible result count; benchmark rank is not MEOU rank"
"personal daily horoscope","Personal forecast","Read a personalized forecast for the selected period","9","Target","A","short/full","Current 30-key EN anchor. Real MEOU capability; validate demand before promotion","0","53","ready","https://hq.asodesk.com/aso-tools/find-and-track/com.matricasudbu.app.astro?locale=us","Approximate ASOdesk metric; total apps is visible result count; benchmark rank is not MEOU rank"
